Battle of Manzikert, location, Manzikert
Macedonian Dynasty, located in the administrative territorial entity, Byzantine Empire
Justinian I, place of birth, Illyria
Battle of Lechfeld, location, Hungary
imperial court, has, administrative hierarchies
Justin I, place of birth, Constantinople
Justinian I, position held, empire
Constantinople, religion, Christianity
Greco-Roman heritage, influenced by, art
Constantinople, named after, Constantine the Great
codification of Roman law, author, Justinian
conquest and looting of Constantinople, point in time, 1204
Byzantine Empire, founded by, ConstantineI
rebellions, location, Byzantine Empire
Iconoclasm, denied, religious image
empire, significant event, fall of Rome
divided, location, Roman Empire
Byzantines, replaced by, Turks
Constantinople fell to Ottoman Turks, end time, May 29, 1453
defended, was defended, fortified city
Renaissance Italy, part of, early modern Europe
Justinian I, family, Justinian Dynasty
Khosrau II invaded Byzantine territory, participant in, Phocas
retake Africa, participant, Goths
Macedonian emperors, country, Macedonian
Nika riots, part of, civil discontent
Constantinople, capital of, Byzantine Empire
Heraclius, position held, emperor
Heraclius, ethnic group, Turks
Ottoman Turks, dissolved, abolished or demolished, 1453
rebellions, participant, Byzantine Empire
Hagia Sophia church, has part, Codex Iustinianus
missionaries spread Christianity throughout Europe, religion, Christianity
Christian missionaries spread Christianity throughout Europe, religion, Christianity
conquest and looting of Constantinople in 1204, point in time, 1204
Constantine the Great, position held, Roman Emperor
Hagia Sophia, instance of, religious buildings
Macedonian dynasty, time period, golden age to the empire
Justinian, field of, art
Constantinople, founded by, Constantine the Great
Bulgars, part of, Huns
Rome, instance of, hills
Roman Empire, said to be, Byzantine Empire
Hagia Sophia, founded by, Justinian I
Constantinople, capital of, Eastern Roman Empire
fall of Constantinople, end time, 1453
Byzantium, governance, democracy
Byzantine culture, religion, Orthodox religion
Alaric, country of citizenship, Romans
Komnenian restoration, was flawed, Komnenian system
empire, conquered territories, Crete
Komnenian, named after, theme system
Fall of Constantinople, point in time, 1453
Komnenian, capital, theme system
Turks, spanning, history spanning over 4,000
Europe, shares border with, Asia
empire, said to be the same as, Roman Empire
Renaissance Italy, followed by, early modern Europe
fall of Rome, location, former empire
empire, capital, Constantinople
forums, located in, city's
Byzantine imperium, country, Byzantine
