President Andrew Jackson - expresses opposition to - South Carolina's defiance of federal authority
Big demonstration - forces the ousting of - governor Juan Ramón Balcarce
Cornerstones - are laid for the construction of - the Kirtland Temple
Otto - becomes the first modern King of - Greece
George Fisher - helps found the first York Rite Masonic Lodge in - Mexico
George Fisher - becomes naturalized Mexican citizen and contracts to settle five hundred families on lands in Texas formerly held by Haden Harrison Edwards
Mexican government - gives settlers at Gonzales a small cannon as defense against - Native Americans
George Fisher - begins publishing the liberal newspaper Mercurio del Puerto de Matamoros in - Matamoros
Battle of Velasco - results in the first casualties of the developing - Texas Revolution
Convention of 1832 - convenes, triggered by rising unrest at the policies of the - Mexico City government
Antonio López de Santa Anna - is elected president of - Mexico
Stephen F. Austin - travels to Mexico City to present petitions to the government on behalf of - Texas
William Travis - arrives at the Alamo
David Crockett - arrives at the Alamo
James Bowie - arrives at the Alamo
Santa Anna - arrives at the Medina River
Texans - celebrate George Washington's birthday with a party at Domingo Bustillo's house on Soledad Street
Texans - capture Fort Lipantitlan
Texans - occupy presidio of La Bahia
Texans - capture the fort in Nacogdoches
Texans - refuse order by Domingo Ugartechea to return the cannon
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - announce that war with Mexico is necessary to secure the freedom of - Texas
Texans - refuse order by Domingo Ugartechea to return the cannon
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000 Mexican troops
Texans - defeat Mexican soldiers at the Battle of Gonzales
Texans - defeat Mexican forces at the Battle of Concepción
Texans - capture the Alamo and over 1,000
