subject;predicate;object
San Felipe de Austin;led to;the Texas Declaration of Independence
San Felipe de Austin;restored;despite being burned during the War for Independence
San Felipe de Austin;became;the first urban center in the Austin colony
Stephen F. Austin;established;San Felipe de Austin
Stephen F. Austin;preserves;the town's history
State of Coahuila y Tejas;influenced by;United States
State of Coahuila y Tejas;influenced by;Spanish legal systems
State of Coahuila y Tejas;combined with;Texas
Texas;combined with;Coahuila
state constitution;reflected elements of;Spanish tradition
state constitution;reflected elements of;Catholicism
state constitution;reflected elements of;community property system
state constitution;introduced;homestead exemption
homestead exemption;providing;stability
homestead exemption;providing;frontier families
discontent;led to;new constitution
new constitution;marked;turning point
tensions;between;Texas
tensions;between;Mexican government
San Felipe de Austin;founded in;1824
San Felipe de Austin;served as;unofficial capital
San Felipe de Austin;became;a significant urban center
Stephen F. Austin;founded;San Felipe de Austin
San Felipe de Austin;had;notable residents
San Felipe de Austin;had;establishments
San Felipe de Austin;played a crucial role in;events leading up to the Texas Revolution
San Felipe de Austin;hosting;important conventions
San Felipe de Austin;serving as;provisional government's capital
San Felipe de Austin;burned down in;1836
Mexican army;capturing;San Felipe
San Felipe;never fully recovered;despite efforts to rebuild
San Felipe;lost;its status as the county seat
original townsite;preserved as;historical site
original townsite;commemorating;significance in Texas history
San Felipe de Austin;served as;colonial capital
Stephen F. Austin;played a significant role in;conventions
colonists;discussed;grievances and proposed changes
resolutions;were never presented to;Mexico
Austin's imprisonment in 1834;led to;support for an independent Texas
movement;gained;momentum
provisional state government;established in;San Felipe
events leading to Texas independence;were closely tied to;Austin's headquarters
Texian Consultations;organized by;Texas colonists
Texian Consultations;addressed grievances and concerns to;Mexican government
first Consultation in 1832;focused on;repealing laws restricting immigration and reducing tariffs
second Consultation in 1833;aimed at achieving;independent statehood within the Mexican union
delegates;presented;memorials and petitions to the Mexican authorities
little response;was received from;Mexican authorities
delegates;led to;calls for further action and preparation for potential conflict with Mexico
James "Jim" Bowie;was a prominent figure in;Texas Revolution
James "Jim" Bowie;known for;his role in the Battle of the Alamo
James "Jim" Bowie;known for;the famous "Bowie knife"
James "Jim" Bowie;was born in;Kentucky
James "Jim" Bowie;gained fame for;his frontier spirit and fighting skills
James "Jim" Bowie;became;a colorful folk hero in Texas history
James "Jim" Bowie;died at;the Alamo
James "Jim" Bowie;reflects;the American dream
individuals;like him;sought to improve their lives at any cost
individuals;like him;pushed westward
Jim Bowie;signed;promissory note
Heritage Auctions;held;Texana Grand Format Auction
Texana Grand Format Auction;featured;historical documents
historical documents;related to;Texas history
items;signed by;Sam Houston
items;signed by;Davy Crockett
items;signed by;William Barret Travis
auction;realized;total of $587,701
auction;attracted;nearly 400 bidders
bidders;eager to own;pieces of Texas history
Texas history;influenced;state's creation
Mexico;migration policy;Texas
Mexico;migration policy;California
Mexico;migration policy;New Mexico
Moses Austin;acquired;land in Texas
Moses Austin;confirmed by;Mexico
Stephen F. Austin;sold land to;settlers
Mexico;imposed restrictions on;land ownership by foreigners
Mexico;led to tensions with;Anglo settlers
Political turmoil in Mexico;included;Santa Anna's rise to power
Santa Anna's rise to power;fueled unrest in;Texas
The Alamo;became;a symbol of resistance
The Alamo;resulted in;a bloody battle
Mexican victory;resulted in;a bloody battle
Santa Anna's harsh measures;led to;further conflict
Sam Houston's forces;defeated;Santa Anna
Santa Anna's capture;led to;negotiations for Texas' independence
Texas' independence;recognized by;US
Texas' independence;recognized by;European countries
Texas' independence;refused by;Mexico
