economy, country, Brazil
Brazil was ruled as a constitutional democracy, inception, 1889
proclaimed independence, point in time, 1822
treaties, part of, negotiations
agriculture, diversified, manufacturing
Pedro I, award received, Constitutional
Brazil, member of, BRICS collective effort
mulatto, followed by, Amerindian peoples
fascist, located on terrain feature, Europe
War of the Triple Alliance, participant, Uruguay
Brazil, has diverse economy, diverse economy
Constitutional Revolution, country, Portugal
Portugal, legislative body, Cortes
France, diplomatic relation, Spain
Leopoldine, spouse, Pedro II
1934 Constitution, influenced by, Weimar Constitution
Proclamation of the monarchy, follows, Dom Pedro II
José Bonifácio, advocated for, abolition of slavery
Brazilian Empire, head of state, Dom Pedro
Brazil, part of, BRIC countries
financial difficulties in the late 1990s and early 2000s, country, Uruguay
abolished slavery in 1888, publication date, 1888
Napoleon's defeat, participant, Portuguese Crown
Napoleon ordered an invasion of Portugal, start time, 1807
constitution, country, Brazil's
Napoleon, conflict, Napoleonic Wars
José Bonifácio, country of citizenship, Portugal
access to justice, instance of, fundamental right
dependency theory, influenced by, Brazilian independence
João VI, place of death, Rio de Janeiro
Portuguese royal family, residence, Brazil
Rio de Janeiro, founded by, Dom João VI
independence, followed by, socio-economic order
Portugal, diplomatic relation, Brazil
1930 First South America Flight, point in time, 1930
Pedro I, used this power, centralize authority
Regency Period, head of state, Dom Pedro II
Paraguayan War, played significant roles, rubber cycle
1934 Constitution, point in time, 1934
fascist, country, Europe
Brazil was proclaimed a kingdom in 1815, inception, 1815
Car Wash, instance of, kickback scheme
Brazil, shares border with, Portugal
Pedro I, child, Pedro II
Pedro II, father, Pedro I
Napoleonic Wars, named after, Napoleon
slavery, country, Brazil
First Reign, head of state, Pedro I
Empire of Brazil, country, Brazil
access to justice, emphasized, principle
Brazil, inception, September 7, 1822
Brazilian independence from Portugal, start time, 1808
broke ties with Portugal, end time, 22 September 1822
agriculture, has diversified, manufacturing
Dom Pedro, work period, 1821
1930 First South America Flight, item operated, airships
Lula, position held, Brazilian President
Uruguay, has, free market economy
military coup, point in time, 1889
neglected Brazil, country, Portugal
colonies colony, country, Brazil
Pedro I, was reportedly ill at the time, ill
First Reign, head of state, Dom Pedro I
Lula, occupation, popular political figure
proclaimed independence, inception, 1822
Brazil, part of, Empire of Brazil
mulatto, subclass of, Amerindian
Brazil's independence, publication date, September 7, 1822
Brazil was proclaimed a kingdom, inception, 1815
Pedro I, use, centralize authority
empire, replaced by, republic
Brazil's independence from Portugal, publication date, September 7, 1822
Pedro I, depicts, heroic portrayal of the event
Dom Pedro I, child, Dom Pedro II
independence, inception, 1822
Napoleon ordered an invasion, location, Brazil
Dom Pedro, country of citizenship, Brazil
Pedro I, award, Constitutional
Napoleon invaded Portugal, start time, 1808
declaring Brazil's separation from Portugal in 1822, point in time, 1822
natural resources, are, energy
Dom Pedro, position held, emperor
Second Reign, head of state, Pedro II
United Kingdom of Portugal, Brazil, and Algarves, replaced by, Empire of Brazil
